x,y
13969482.8996479,347379.4830712712
13970596.094555834,406089.0895388479
13822541.171800781,439336.2628306681
14234423.287735892,188004.2249136126
14207706.609945506,163668.3737277989
14195461.465958247,152607.45380948574
14185442.711786853,143759.05883238564
14173197.56779959,129381.01518280288
14173197.56779959,88462.33355097982
14182103.127063055,49758.942535075046
14182103.127063055,35383.954680533665
13122341.574711088,487012.13305555517
13477450.750341631,659118.5095768754
13957237.755660638,597998.8765185573
13927181.493146457,705833.1178444981
13944992.61167338,774864.3590051995
14070783.63626978,819449.3936855356
14034048.204307998,825025.3536296767
13839239.09541977,848451.4679017605
13855937.019038761,848451.4679017605
13859276.603762558,850683.1307461775
13892672.451000541,881937.7011577357
13922728.713514727,874122.0625689046
13762428.64677241,912096.5016007161
13906030.789895736,976953.3451070011
13878200.917197416,1021741.8184487903
13972822.4843717,1065459.986633393
13712334.875915438,1028464.46013645
13706768.901375774,1157549.07197111
13716787.655547168,1180046.3002546406
13717900.850455102,1198054.8009366228
13939426.637133716,1144057.7664332057
13898238.425540205,1209315.0259742492
13862616.18848636,1282601.351707719
13809182.832905585,1424028.5782725443
13799164.078734191,1455802.9449272766
13767994.621312076,1479657.6069734597
13759089.062048612,1486477.0429717957
13759089.062048612,1497846.5791771023
13743504.333337555,1502395.7342800833
13733485.57916616,1525153.1071415779
13668920.274506064,1566165.8778697643
13583204.26659524,1477384.840724502
13478563.945249563,1510358.609590513
13457413.241998844,1531984.1186847694
13523091.741566874,1571867.211481233
13503054.233224085,1577569.8079004502
13491922.284144755,1578710.4791566117
13468545.19107817,1563885.6969038334
13506393.817947883,1603818.156748639
13413998.640589466,1620951.3276450953
13402866.691510139,1643813.8563783118
13397300.716970474,1693040.528852209
13440715.318379851,1701063.6703841344
13448507.682735382,1773394.97719723
13419564.61512913,1830963.029320473
13467431.996170238,1925700.0429147722
13479677.140157497,1944234.0760085732
13480790.335065428,1945392.9936228022
13594336.21567457,2049962.251989531
13565393.148068318,2121146.9955251524
13603241.77493803,2150396.1990681225
13574298.707331778,2201983.811106009
13553148.004081057,2297326.898637346
13582091.071687311,2313856.6148968088
12220653.699285572,2356431.985021595
12147182.835362013,1721707.0227343687
12022505.005673544,1670132.0036540357
12044768.9038322,1291632.8741807125
11933449.413038926,1201432.4692245347
12134937.691374753,1129448.0463253849
12139390.471006483,1092388.6672778372
10600955.108243443,2361168.905448097
10586483.574440317,2528982.643543118
10684444.726338398,2579296.035458706
10961630.258413648,2896832.7717172
15000301.384393616,2368276.67907512
14722002.657410428,2160936.8199913967
13489695.894328894,2475244.6998941316
13562053.56334452,2736034.985927705
13572072.317515913,2839381.1982960394
13527544.521198604,2878472.893988219
13617713.308741156,2909085.459273136
13588770.241134902,2934849.626513733
13632184.84254428,3002545.761240842
13803616.858365921,2804042.5846245834
14276724.694237337,3210119.0513132946
14427006.006808255,3412042.343965794
14440364.345703447,3422221.4492653767
14457062.26932244,3463019.5600394905
14463741.438770035,3478352.844315107
14496024.091100084,3537304.8139486765
14502703.260547683,3582347.776421548
14534985.91287773,3639208.834125411
14546117.861957056,3685930.509205494
14537212.302693594,3710662.5701507065
14568381.760115713,3731529.367672994
14504929.650363548,3839054.0119883786
14593985.242998164,3856191.7490458773
14610683.166617157,3882607.1392777907
14630720.674959946,3909083.2283346085
14649644.988394802,4071937.476777898
14763190.86900394,4156973.8363417904
14842227.707467169,4298819.336239853
